tfidf,modelo,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
palabras,LinearSVC,0.8375,0.0,0.8324999999999999,0.013333333333333308,0.8375,0.0,0.8069047619047619,0.004613095238095166
palabras,Regresión Logística,0.8,0.0,0.7996949404761904,0.014174107142857106,0.8,0.0,0.7674899059274061,0.0026616092241092404
palabras,Random Forest,0.79375,0.01874999999999999,0.7749684343434343,0.009059343434343448,0.79375,0.01874999999999999,0.7582719763630089,0.013717110938578414
palabras,KNN,0.6000000000000001,0.04999999999999999,0.5473549836601308,0.0925755718954249,0.6000000000000001,0.04999999999999999,0.5413534266659267,0.06726129194879196
caracteres,LinearSVC,0.8500000000000001,0.012500000000000011,0.8543898809523809,0.013735119047618982,0.8500000000000001,0.012500000000000011,0.8391815476190476,0.0137748015873016
caracteres,Regresión Logística,0.7875,0.03749999999999998,0.8184375,0.027693452380952333,0.7875,0.03749999999999998,0.7737996031746033,0.04012896825396822
caracteres,Random Forest,0.8062499999999999,0.01874999999999999,0.7632839556277056,0.01566490800865805,0.8062499999999999,0.01874999999999999,0.7675534326784327,0.021247696747696776
caracteres,KNN,0.65625,0.05625000000000002,0.627845695970696,0.07725045787545792,0.65625,0.05625000000000002,0.6050855741480742,0.06756864663114659
combinado,LinearSVC,0.875,0.012499999999999956,0.8515625,0.014479166666666599,0.875,0.012499999999999956,0.8517672258297259,0.01434659090909085
combinado,Regresión Logística,0.825,0.012500000000000011,0.8166220238095239,0.007455357142857111,0.825,0.012500000000000011,0.7995138888888889,0.01105158730158734
combinado,Random Forest,0.83125,0.01874999999999999,0.7935788690476191,0.021555059523809594,0.83125,0.01874999999999999,0.7968522241647241,0.02211214479964485
combinado,KNN,0.70625,0.01874999999999999,0.6541666666666668,0.03883928571428569,0.70625,0.01874999999999999,0.6557246557790036,0.033237559541907324
